label,description,image,timeunit,timevalue,anchor?
Jurassic Park Premieres,"Jurassic Park, later also referred to as Jurassic World, is an American science fiction media franchise created by Michael Crichton and centered on a disastrous attempt to create a theme park of cloned dinosaurs.",jurassicparkpremieres.png,year,1993,FALSE
Mount St. Helens Erupted,"On March 27, 1980, a series of volcanic explosions and pyroclastic flows began at Mount St. Helens in Skamania County, Washington, United States. A series of phreatic blasts occurred from the summit and escalated until a major explosive eruption took place on May 18, 1980, at 8:32 AM. The eruption, which had a Volcanic Explosivity Index of 5, was the most significant to occur in the contiguous United States since the much smaller 1915 eruption of Lassen Peak in California. It has often been declared the most disastrous volcanic eruption in U.S. history. ",mountsthelenserupted.jpg,year,1980,FALSE
Moon Landing,,,year,1969,FALSE
UBC Founded,"The University of British Columbia (UBC) is a public research university with campuses near Vancouver and in Kelowna, British Columbia. Established in 1908, it is British Columbia's oldest university. The university ranks among the top three universities in Canada. With an annual research budget of $759 million, UBC funds over 8,000 projects a year.",ubcfounded.png,year,1908,TRUE
Tambora Eruption,,,year,1815,FALSE
Little Ice Age,"The Little Ice Age (LIA) was a period of regional cooling, particularly pronounced in the North Atlantic region. It was not a true ice age of global extent. The term was introduced into scientific literature by François E. Matthes in 1939. The period has been conventionally defined as extending from the 16th to the 19th centuries, but some experts prefer an alternative timespan from about 1300 to about 1850.",littleiceage.png,years,500,TRUE
Ancient Egyptians,,,years,5170,FALSE
Domestication of Rice,"Rice is the seed of the grass species Oryza sativa (Asian rice) or less commonly Oryza glaberrima (African rice). The name wild rice is usually used for species of the genera Zizania and Porteresia, both wild and domesticated, although the term may also be used for primitive or uncultivated varieties of Oryza.",domesticationofrice.jpeg,years,9400,TRUE
Last Ice Age,,,years,20000,FALSE
Homo sapiens,"Anatomically modern humans emerged around 300,000 years ago in Africa, evolving from Homo heidelbergensis or a similar species and migrating out of Africa, gradually replacing or interbreeding with local populations of archaic humans. For most of history, humans were nomadic hunter-gatherers.",homosapiens.jpeg,years,300000,TRUE
Homo neanderthalenthsis,,,years,400000,FALSE
Homo heidelbergensis,"Homo heidelbergensis (also H. sapiens heidelbergensis) is an extinct species or subspecies of archaic human which existed during the Middle Pleistocene. It was subsumed as a subspecies of H. erectus in 1950 as H. e. heidelbergensis, but towards the end of the century, it was more widely classified as its own species. It is debated whether or not to constrain H. heidelbergensis to only Europe or to also include African and Asian specimens, and this is further confounded by the type specimen (Mauer 1) being a jawbone, because jawbones feature few diagnostic traits and are generally missing among Middle Pleistocene specimens. Thus, it is debated if some of these specimens could be split off into their own species or a subspecies of H. erectus. Because the classification is so disputed, the Middle Pleistocene is often called the 'muddle in the middle.'",homoheidelbergensis.JPG,years,800000,TRUE
Homo erectus,,,years,2000000,FALSE
Homo habilis,,,years,2100000,FALSE
Paranthropus boisei,,,years,2500000,FALSE
Australopithecus afarensis,,,years,3600000,FALSE
Australopithecus africanus,,,years,3600000,FALSE
Kenyanthropus platyops,,,years,4000000,FALSE
Sahelanthropus tchadensis,"Sahelanthropus tchadensis is an extinct species of the Homininae (African apes) dated to about 7 million years ago, during the Miocene epoch. The species, and its genus Sahelanthropus, was announced in 2002, based mainly on a partial cranium, nicknamed Toumaï, discovered in northern Chad.",sahelanthropustchadensis.jpg,years,7000000,TRUE
First Cats (Felidae),,,years,25000000,FALSE
